DEVIS_ID,Date_opération,CONFIRME,PDV_DEVIS_CONFIRME,CDP,Source File,source_format
RECAP_123f681def2d,2025-07-08,CONFIRMÉ,5940.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_ab9eb9420750,2025-07-27,CONFIRMÉ,8241.25,GABI ,DOSSIER TRAVAIL CA.xls,recap
RECAP_6402987200f1,2025-09-25,CONFIRMÉ,29656.0,GBAI,DOSSIER TRAVAIL CA.xls,recap
RECAP_70dcefda4066,2025-09-13,CONFIRMÉ,2850.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_5707098c9131,2025-06-27,CONFIRMÉ,27960.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_6a9a889a830b,2025-09-26,CONFIRMÉ,1550.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_e9e60caf0dc7,2025-07-02,CONFIRMÉ,2130.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_ed2cb9add70b,2025-09-27,CONFIRMÉ,2640.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_bfd17fdfd7ee,2025-05-12,CONFIRMÉ,4330.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_86b43a4be426,2025-07-03,CONFIRMÉ,4210.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_5bfe47b09286,2025-06-12,CONFIRMÉ,2280.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_42fbfea76892,2025-06-28,CONFIRMÉ,1770.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_c8026aafe2b8,2025-05-22,CONFIRMÉ,17680.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_55471d2c1de8,2025-06-18,CONFIRMÉ,16070.0,GABI ,DOSSIER TRAVAIL CA.xls,recap
RECAP_00fa55468b14,2025-09-04,CONFIRMÉ,3920.0,GABI ET SWAN,DOSSIER TRAVAIL CA.xls,recap
RECAP_fb648a46191b,2025-09-18,CONFIRMÉ,1872.0,AD,DOSSIER TRAVAIL CA - AU 18 AOUT 2025.xls,recap
RECAP_32f57fe7eaa7,2025-09-27,CONFIRMÉ,2112.0,0,DOSSIER TRAVAIL CA - AU 14 AOUT 25.xls,recap
RECAP_b40f0eba171f,2025-09-20,CONFIRMÉ,1100.0,0,DOSSIER TRAVAIL CA - AU 14 AOUT 25.xls,recap
RECAP_6ee4853da932,2025-09-10,CONFIRMÉ,2176.0,0,DOSSIER TRAVAIL CA - AU 14 AOUT 25.xls,recap
RECAP_8f01f9f57d0a,2025-05-26,CONFIRMÉ,3000.0,THOMAS,DOSSIER TRAVAIL CA.xls,recap
RECAP_aaf113a24ebe,2025-07-27,CONFIRMÉ,7215.0,GABI ,DOSSIER TRAVAIL CA.xls,recap
RECAP_64af472fee00,2025-09-05,CONFIRMÉ,8465.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_4661b645ae59,2025-07-01,CONFIRMÉ,3070.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_3b2f9c6260b6,2025-09-25,CONFIRMÉ,37070.0,GBAI,DOSSIER TRAVAIL CA.xls,recap
RECAP_9b0d0ebe2383,2025-08-26,CONFIRMÉ,14980.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_623cc5870296,2025-09-02,CONFIRMÉ,2930.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_7b84889fcdbd,2025-09-10,CONFIRMÉ,1345.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_ef41fb8d83da,2025-09-23,CONFIRMÉ,1885.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_8d1861cdb90b,2025-09-11,CONFIRMÉ,4490.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_d162b8735660,2025-07-03,CONFIRMÉ,2590.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_6b905482d280,2025-07-03,CONFIRMÉ,1840.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_9cfba9d54c84,2025-06-07,CONFIRMÉ,2960.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_c25c2ea5be50,2025-09-06,CONFIRMÉ,2320.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_d726487fd906,2025-06-26,CONFIRMÉ,11555.0,GABI ,DOSSIER TRAVAIL CA.xls,recap
RECAP_a548dfbda89b,2025-06-17,CONFIRMÉ,4220.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_96b8b3f7783c,2025-07-02,CONFIRMÉ,1590.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_ec42d8310c97,2025-05-13,CONFIRMÉ,1670.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_67e50cf97dd4,2025-05-14,CONFIRMÉ,1035.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_a8ef0a9c3b99,2025-09-13,CONFIRMÉ,5190.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_9e37c747df2c,2025-07-16,CONFIRMÉ,4550.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_4f52b66c9fd5,2025-06-07,CONFIRMÉ,2710.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_effecb39d4e0,2025-06-09,CONFIRMÉ,3440.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_cadbd0fc614d,2025-06-27,CONFIRMÉ,2330.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_9cb3c2359802,2025-06-04,CONFIRMÉ,2680.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_9f34d94a7fc2,2025-07-03,CONFIRMÉ,2410.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_d731a8505201,2025-09-13,CONFIRMÉ,6630.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_a95aac20fabc,2025-06-26,CONFIRMÉ,1860.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_d116f4e99604,2025-07-10,CONFIRMÉ,565.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_eb76bf592fb4,2025-06-16,CONFIRMÉ,750.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_776f347a6048,2025-06-11,CONFIRMÉ,1340.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_1ace2d5d4a25,2025-06-25,CONFIRMÉ,7030.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_58444facd935,2025-06-12,CONFIRMÉ,4900.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_ec371399f57e,2025-06-12,CONFIRMÉ,400.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_d366c965c89b,2025-06-13,CONFIRMÉ,945.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_8d0f8d36139b,2025-06-16,CONFIRMÉ,1750.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_41fb10cfc617,2025-06-17,CONFIRMÉ,3545.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_19280efce320,2025-06-18,CONFIRMÉ,1900.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_cece47566fbd,2025-06-19,CONFIRMÉ,3560.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_63d7b4fa8e52,2025-06-20,CONFIRMÉ,4165.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_2aadab183ebf,2025-06-24,CONFIRMÉ,9465.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_363bac67b6a4,2025-06-04,CONFIRMÉ,1410.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_09a67966efa0,2025-05-20,CONFIRMÉ,10080.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_edd455d8fef2,2025-09-26,CONFIRMÉ,6840.0,AD,DOSSIER TRAVAIL CA.xls,recap
RECAP_f18016a3bd16,2025-06-11,CONFIRMÉ,15150.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_b35e0d553772,2025-05-16,CONFIRMÉ,850.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_6990ebb766fc,2025-09-08,CONFIRMÉ,680.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_f76a3aa2a89d,2025-05-17,CONFIRMÉ,13500.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_f423bc1b6706,2025-06-27,CONFIRMÉ,1050.0,STEPH,DOSSIER TRAVAIL CA.xls,recap
RECAP_0ea826a304db,2025-06-27,CONFIRMÉ,1025.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_716687df65ce,2025-05-03,CONFIRMÉ,1100.0,STEPH,DOSSIER TRAVAIL CA.xls,recap
RECAP_bacfe1eefa66,2025-06-28,CONFIRMÉ,4400.0,STEPH,DOSSIER TRAVAIL CA.xls,recap
RECAP_023d219d0914,2025-07-16,CONFIRMÉ,1096.0,STEPH,DOSSIER TRAVAIL CA.xls,recap
RECAP_1693169ae1a1,2025-09-17,CONFIRMÉ,145.0,STEPH,DOSSIER TRAVAIL CA.xls,recap
RECAP_53cf72a6c760,2025-06-12,CONFIRMÉ,19864.91,steph,DOSSIER TRAVAIL CA.xls,recap
RECAP_ed83a18cf63f,2025-06-25,CONFIRMÉ,2000.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_27b35ead338e,2025-06-26,CONFIRMÉ,4616.0,STEPH,DOSSIER TRAVAIL CA.xls,recap
RECAP_c2a4bcf31f60,2025-05-13,CONFIRMÉ,5360.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_fc961ed8ee55,2025-05-14,CONFIRMÉ,3540.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_7905da9c94af,2025-05-15,CONFIRMÉ,4528.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_94eba8fef9b8,2025-09-06,CONFIRMÉ,10208.5,,DOSSIER TRAVAIL CA.xls,recap
RECAP_cb86e66adf26,2025-06-10,CONFIRMÉ,5600.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_3d03fc456641,2025-06-11,CONFIRMÉ,7105.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_7c644ab34a0f,2025-06-05,CONFIRMÉ,22725.5,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_974012bf9904,2025-07-02,CONFIRMÉ,2865.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_7efc8af899c0,2025-09-20,CONFIRMÉ,1535.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_5e5696eb6041,2025-09-29,CONFIRMÉ,1570.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_33123fb60d7f,2025-07-07,CONFIRMÉ,1410.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_6afabfab3d80,2025-09-18,CONFIRMÉ,2340.0,AD,DOSSIER TRAVAIL CA.xls,recap
RECAP_5ae95ed793e0,2025-07-16,CONFIRMÉ,1900.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_6777dd04412c,2025-09-11,CONFIRMÉ,6750.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_4cd1df092f81,2025-07-09,CONFIRMÉ,1645.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_886daf85d42f,2025-06-19,CONFIRMÉ,15930.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_02c1c43d9a46,2025-07-08,CONFIRMÉ,2400.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_4f25788075a3,2025-06-06,CONFIRMÉ,1975.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_7fb4666a5960,2025-06-25,CONFIRMÉ,26270.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_1362ab024b67,2025-09-26,CONFIRMÉ,11650.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_2c7656efff6f,2025-06-11,CONFIRMÉ,17970.85,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_543a85f302a5,2025-07-11,CONFIRMÉ,5478.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_3349f6de3348,2025-06-06,CONFIRMÉ,4020.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_2eb11af9d7aa,2025-06-02,CONFIRMÉ,124630.0,NP,DOSSIER TRAVAIL CA.xls,recap
RECAP_1f6b9aea1409,2025-09-10,CONFIRMÉ,1720.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_12a9802debfd,2025-06-19,CONFIRMÉ,1370.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_d553683a5c9c,2025-09-27,CONFIRMÉ,4780.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_277f70b7d3c6,2025-09-10,CONFIRMÉ,2720.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_cb656bfcff88,2025-07-02,CONFIRMÉ,4038.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_bab25c808761,2025-09-29,CONFIRMÉ,1990.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_216bce50501d,2025-06-17,CONFIRMÉ,3260.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_5f0aeafb4c30,2025-06-05,CONFIRMÉ,4470.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_f48396598e25,2025-05-22,CONFIRMÉ,2020.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_1512a576e054,2025-07-16,CONFIRMÉ,11480.0,CC,DOSSIER TRAVAIL CA.xls,recap
RECAP_32e26791eb61,2025-06-04,CONFIRMÉ,3470.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_6efcd0c3e386,2025-07-04,CONFIRMÉ,9060.0,0,DOSSIER TRAVAIL CA.xls,recap
RECAP_067a819af862,2025-05-15,CONFIRMÉ,1430.0,0,DOSSIER TRAVAIL CA.xls,recap
FOLBUTVISITES GUIDÉES AIGUILLE DU MIDI,2025-07-03,CONFIRME,100.0,Stéphanie Cameron-Beaumont,DOSSIER_CA_TBv6_SCB.xlsm,devis
CLUALTCHALLENGE45912,2025-09-12,CONFIRME,20.0,Gabrielle Beche,DOSSIER_CA_TBv10_MASTER.xlsm,devis
CLUALTRAID45912,2025-09-12,CONFIRME,9000.0,Gabrielle Beche,DOSSIER_CA_TBv10_MASTER.xlsm,devis
CLUALTSURVIVOR45912,2025-09-12,CONFIRME,1500.0,Gabrielle Beche,DOSSIER_CA_TBv10_MASTER.xlsm,devis
CluReg45912VIA,2025-09-12,CONFIRME,2000.0,Stéphanie Cameron-Beaumont,DOSSIER_CA_TBv5_SCB.xlsm,devis
DecVTT ELECTRIQUES,2025-07-03,CONFIRME,1560.0,Stéphanie Cameron-Beaumont,DOSSIER_CA_TBv6_SCB.xlsm,devis
FOLBUTVTT ELECTRIQUES,2025-07-03,CONFIRME,1200.0,Stéphanie Cameron-Beaumont,DOSSIER_CA_TBv6_SCB.xlsm,devis
